trialNumber,timestamp,position,speed,direction
0,1870172.9000000004,0.571,1.142857142857144,1
0,1870179.9000000004,0.579,1.142857142857144,1
0,1870186.8000000007,0.585,0.8695652173443575,1
0,1870193.7000000011,0.592,1.0144927535684172,1
0,1870200.6000000015,0.598,0.8695652173443575,1
0,1870207.6000000015,0.603,0.7142857142857149,1
0,1870214.5,0.608,0.7246376813159129,1
0,1870221.5,0.612,0.571428571428572,1
0,1870228.5,0.615,0.42857142857142894,1
0,1870235.3000000007,0.619,0.5882352940531962,1
0,1870242.3000000007,0.622,0.42857142857142894,1
0,1870249.3000000007,0.624,0.285714285714286,1
0,1870256.2000000011,0.626,0.2898550724481192,1
0,1870263.2000000011,0.627,0.142857142857143,1
0,1870270.1000000015,0.628,0.1449275362240596,1
